	CGM_0	CGM_1	CGM_2	CGM_3
7b281a36-35de-4979-8684-b7399e9f7edb	2.5179403023874936	3.433076048931619	2.8362910708227185	3.374335105910926
f4633f46-6081-4ab3-a53c-9497df3c4616	3.0031892636335598	1.6969041844467205	2.3294875744131414	1.652052707903872
a57fab5c-b3a2-46b8-be89-dbbd0444a2ad	1.9770873346916622	2.942454119825243	2.307791446207171	2.505084544955988
4d356fe2-d8c0-4e7a-bc54-98887c7d0847	4.059244666157905	1.9993150628559462	2.542281919630435	2.5023733380680815
ad22b08f-0bc2-4bf3-96c2-9cb3d65c0718	3.550615583548916	2.824747130045724	3.71895132666975	2.2661584569367945
4c98cba9-9640-4e1f-8ae0-292b5d74f8c1	3.8734706705239432	3.3580090932753452	3.530044697209238	1.816301252369259
0c1581e7-b516-4eae-83d6-e6b12d778be9	3.9443903497495882	2.6822729692045506	2.277056190081262	3.164705497748491
4355a25b-da41-4e70-8c23-1d5ddfdbf7ea	3.339876362267123	2.1089277099642905	2.177910865249146	2.648163362646656
5581bfdc-8192-4e79-bf83-0c61d504dc62	3.6121953885124674	2.9122223979213175	2.9097850607104627	2.457214664142471
4f9f672d-2d55-4500-a2ae-509b50fc134d	2.951769498636561	2.4861398553000345	4.2591897593961185	4.043815912338406
d8384652-223f-406d-ac4d-4bb0d668032c	3.676302324842312	1.651647357769522	2.355506669692138	3.3020536593424894
3e0cf0a5-3791-4baa-9adf-f5b752ea48a4	2.1796679377306307	5.238629558510752	4.125114787412869	3.03410065298728
66db3c55-5648-44d5-893b-a3037e1c2f9d	3.5069003578338562	2.1380289066862055	2.3293937741445685	1.5828699301145268
a1d27fd6-5666-4124-a317-a1f6cd2b2935	3.682251314152342	1.8706457934270706	2.4587829180077625	1.1339550369202724
cab65bb2-c00e-49b0-a7da-1096939debef	3.8517159762767825	1.310492300047766	2.016110011549638	1.3026838309332058
54d3e578-c36e-4a04-b3b8-d6e40de39c6a	2.4459798511301254	2.466761652262715	3.3580219763142236	3.5610593893237437
6f4576f3-571b-4e51-85d1-78ffeb174303	3.3286464629915447	1.6115805987493437	3.937056990854648	4.095598022392259
6cffeba2-09ae-44eb-8299-f16c1caba2cc	2.785239062696753	3.4847828569316297	2.0766969381680855	1.7285596394694605
6b3b49fb-5c2a-4906-bc17-1710e0f823d5	3.703922863703435	2.7264181806191696	3.5094531054303344	3.7022090375126444
b5a579fb-51e6-47d2-b681-a4f5c75dadba	3.413099191658721	4.382000105544757	3.3604397752220345	3.5220055320034396
a94c3c43-d23c-444f-b4d2-78cfa60aad3a	3.1485811605294867	1.785037857595505	3.3808038083851444	4.267886786900863
f263d517-208d-4048-850e-dbc477cedb92	3.0810866989815104	1.7986887543156567	3.8755236458444253	3.506629279549492
d8a8fb13-b8db-4294-8f50-1f3087020ee9	1.8376930186960623	5.339796027667566	2.0754856146473784	2.107889124494558
2660e6c6-b4c6-4d29-b048-4ce588b9e1e2	1.7394456538489407	3.311928530320662	5.00055642167444	4.895492088272119
96870eaf-bb4e-4896-87a0-b1e0d2078d73	3.836296906384487	2.275553561504353	3.7658149912115215	4.107319430395096
a4dbc388-4b0d-499a-82a8-77ca1aed53da	2.722224329033002	2.9991591643773456	2.3558153968982216	2.8405263058631434
5c773161-8a5d-4d0d-93b7-0f7d584350c8	3.6744156783973136	1.5466529563001086	2.0183287845869478	1.790806195751713
4beaecff-c266-41a3-981a-27d9b049196b	1.7664004460410117	1.818998666366888	2.101047259521725	3.540947200778877
e474edea-089b-4b2d-9911-211514cc2629	3.687432057455288	1.5066312891071538	3.0719197516174304	2.7057181929633143
237bada3-a0f0-4604-a492-e3182f46a074	3.7622960841376236	2.6463709190457636	3.788838805654307	2.3989243401212557
e3eb9c78-ef7a-4f68-8786-e76f5803846b	1.851162820992783	1.7513651765141052	3.1352698685342073	3.0611726715855903
4a152654-5dac-461e-a760-ebcf379b437b	3.2286833625356985	3.0991123886296466	2.094693064906619	1.4285968727166305
1f517491-321e-44e9-9aa8-082267ec9607	1.3695126147683008	1.5854927262707892	4.510845241280468	3.8604695508182507
59fadaa4-90c8-4f4c-8a34-3b055a1f73a6	3.8809886495429033	2.064791928542904	3.021783029616214	1.4545072289729506
0d9f45b0-f107-46cf-8683-8d9cbb93a8bf	3.7732046969887523	1.8490597938394902	2.018877263224801	2.8640562619098
094bd0ca-5f46-4ff7-b674-04c5b9001951	2.810842799707875	2.927844026338942	3.252794090134052	2.1555716569492764
efc448d3-a3c6-4df9-a626-907ce3d5bcfc	4.137178050912997	1.8432919663398715	2.232799706245234	1.7248560871182141
a9244207-0090-465b-ac79-20f4c66066b5	2.130187309301324	3.9825920794784055	3.747786556337242	4.335249353507641
9fa569e3-0c99-4fbb-b01a-e5e8e8115954	2.318357076124939	4.957328253484205	3.1780388661020162	2.5994570704564097
6f61614f-6903-4ca9-ad1c-1055d67b6780	4.0950170297223485	2.740480529211862	1.7892802033933477	1.6866806363588767
048da4d7-cab0-49c5-8bc9-78b1bf0b365b	3.515582860974377	2.170183014498483	3.127521278340611	3.845308661870495
eb5e573d-46b3-47f4-a761-df02765bd899	1.5567033622823532	4.907633239227115	3.0715905298141974	2.8436038804412647
960daf2a-8884-43bd-ab4f-06dadf4f8f61	3.707972404127127	2.4550476735477167	3.071622888564977	3.7026843235881453
c6035ac1-1356-4e1a-bec1-d950b3711f67	2.4791499917724873	2.7310143026251192	4.0918884985827475	4.297223274896699
b6b31a7a-dc07-4168-b147-2a67a0e4a73e	2.4700564248817996	5.089592371305708	3.0395296925656927	2.9684523729368566
70148228-2225-426d-998c-bc5fa1443881	4.148160850526699	2.0108426183585086	1.763977345895049	2.0006899695568796
